carretera,traffic_imd_total,traffic_imd_pesado,traffic_match_count,traffic_heavy_share
A-79,26319.019230769227,1546.6197552447554,3.0,0.058764338506832436
A-7S,33947.82775771636,2940.7907402128826,128.0,0.0866267721517009
A-8,16351.31321740297,1725.178984966504,147.0,0.10550706001585046
A-91,7855.234879305669,1443.5584486032005,6.0,0.18377024631131053
A-92,13141.252128237636,1354.8357181669987,11.0,0.10309791676972373
A-92N,12792.0,2217.0,1.0,0.17331144465290807
AC-10,43109.347352024924,1692.8613707165107,5.0,0.03926900950025619
AC-11,73069.58834080718,2287.7076233183857,16.0,0.03130861518814346
AC-12,37135.68283220175,1276.4713870029098,6.0,0.034373176676746955
AC-14,23640.250927070458,1018.7503090234859,6.0,0.043093887292749274
AC-14AL,19993.52268907563,853.9882352941177,2.0,0.04271324511316522
AC-14T,16111.616908850727,768.6036988110965,3.0,0.047704938812744055
AC-15,546.0,222.99999999999997,1.0,0.40842490842490836
AI-81,27752.37134052388,2203.5978428351305,3.0,0.07940214606517056
AI-82,4312.0,94.0,2.0,0.021799628942486084
AL-14,38777.13594040968,3409.163873370577,2.0,0.08791685591761007
AP-1,18295.020294072594,5506.204472354111,13.0,0.300967388056851
AP-15,9553.0,3073.0,1.0,0.3216790537004082
AP-15-R,9553.0,3073.0,1.0,0.3216790537004082
AP-2,12472.999573336836,3332.6032360760123,23.0,0.2671853884449752
AP-36,4446.978640228912,716.1278362148876,20.0,0.16103694084260867
AP-4,23754.25352112676,1689.9715313155525,22.0,0.07114395448429946
AP-41,7146.808831646735,443.6126954921804,11.0,0.0620714371885564
AP-46,19851.246868619983,2389.858467141202,2.0,0.12038833041359179
AP-4A,12795.4776119403,885.3544776119404,2.0,0.06919276516773068
AP-51,12729.812576499384,1552.3456242350057,8.0,0.12194567790422967
AP-53,9142.099228047602,578.9396912190415,11.0,0.06332677832273766
AP-6,20261.662252162598,2611.4982775778926,29.0,0.12888864916792098
AP-61,6615.30392334117,658.7685771108298,11.0,0.09958251121108094
AP-66,8888.222482186537,1762.7341274061469,10.0,0.19832245771738463
AP-68,15103.725765008177,3231.1798311475964,37.0,0.21393263367065954
AP-71,7248.9762148862,2045.0656141070333,9.0,0.2821178540919158
AP-7N,27609.593757489918,5080.88934524458,145.0,0.18402622616880188
AP-7R,25845.192,1410.576,3.0,0.054577888219983044
AP-7S,41371.82264173998,2996.5197947214074,23.0,0.07242900127146495
AP-9,23307.71537601478,2102.9134704195226,39.0,0.09022392098470376
AP-9F,14979.15946468881,827.8805224121248,14.0,0.055268823618824056
AP-9V,57202.99999999999,2834.9999999999995,3.0,0.04956033774452389
AS-392,20052.0,448.0,1.0,0.022341911031318572
AV-20,10128.743880597014,922.0740298507462,9.0,0.09103537819897928
Acceso Aeropuerto de Sevilla,63541.5294117647,4595.521008403361,2.0,0.07232310979836915
Acceso Puerto de Valencia,58927.0,12475.0,1.0,0.21170261510003904
Acceso RRT Estación Linares-Baeza,1092.0,118.0,1.0,0.10805860805860806
Acceso RRT Valencia - Fonteta de Sant Lluis,58927.0,12475.0,1.0,0.21170261510003904
Acceso RRT Valladolid,25851.0,1069.0,1.0,0.04135236547909172
B-10,101315.30760749725,6450.753031973539,2.0,0.06367007300579117
B-20,108462.1575342466,7921.974710221288,8.0,0.07303906625423663
B-22,41239.78542510122,2172.9554655870447,3.0,0.05269075586083051
B-23,103224.16121495327,11313.247663551403,5.0,0.10959883355208647
B-24,24125.58410220014,1801.6266855926187,5.0,0.07467701830391409
B-30,60545.0,4978.0,2.0,0.0822198364852589
B-40,36614.44230584159,5649.060340679434,3.0,0.1542850303028694
BA-20,22845.137579617836,756.0203821656052,4.0,0.03309327332920585
BU-11,26594.8861047836,1077.478359908884,3.0,0.0405144942401193
BU-11R,18805.96103896104,538.038961038961,2.0,0.028610022105452885
BU-12,189.0,42.0,1.0,0.2222222222222222
BU-30,10632.299488677865,2473.778853177502,14.0,0.23266640069834207
BU-30R,2617.9753086419755,362.2962962962963,2.0,0.13838797298826724
C-16,72741.46814404432,10293.193905817174,2.0,0.14150379650620132
C-25,28782.999999999996,6520.0,1.0,0.2265226001459195
C-25z,34429.0,9554.0,1.0,0.27749862034912426
C-31,27361.0,1440.0,2.0,0.05262965534885421
C-58,72208.43862660945,10033.512446351931,2.0,0.1389520759233602
CA-31,25159.029469548135,1488.8310412573674,2.0,0.059176807398688074
CA-32,24309.265417642462,1177.1896955503514,7.0,0.0484255560719661
CA-33,46212.031458906815,1447.0593786865907,5.0,0.03131347688043883
CA-34,39749.0,1757.0,1.0,0.04420236987094015
CA-35,26515.74282678002,1988.2252922422954,4.0,0.07498282455184524
CA-36,21522.84866468843,1276.6409495548962,4.0,0.05931561241934594
