municipality_code,municipality_name,population_year,municipal_population
06004,Alange,2025,1803.0
06005,"Albuera, La",2025,2011.0
06006,Alburquerque,2025,4930.0
06007,Alconchel,2025,1594.0
06008,Alconera,2025,749.0
06009,Aljucén,2025,252.0
06010,Almendral,2025,1205.0
06011,Almendralejo,2025,34544.0
06012,Arroyo de San Serván,2025,4000.0
06013,Atalaya,2025,258.0
06014,Azuaga,2025,7594.0
06015,Badajoz,2025,150870.0
06016,Barcarrota,2025,3464.0
06017,Baterno,2025,231.0
06018,Benquerencia de la Serena,2025,771.0
06019,Berlanga,2025,2175.0
06020,Bienvenida,2025,2000.0
06021,Bodonal de la Sierra,2025,983.0
06022,Burguillos del Cerro,2025,2939.0
06023,Cabeza del Buey,2025,4484.0
06024,Cabeza la Vaca,2025,1257.0
06025,Calamonte,2025,6134.0
06026,Calera de León,2025,914.0
06027,Calzadilla de los Barros,2025,680.0
06028,Campanario,2025,4700.0
06029,Campillo de Llerena,2025,1326.0
06030,Capilla,2025,142.0
06031,Carmonita,2025,514.0
06032,"Carrascalejo, El",2025,80.0
06033,Casas de Don Pedro,2025,1376.0
06034,Casas de Reina,2025,200.0
06035,Castilblanco,2025,824.0
06036,Castuera,2025,5453.0
06037,"Codosera, La",2025,1978.0
06038,Cordobilla de Lácara,2025,816.0
06039,"Coronada, La",2025,2136.0
06040,Corte de Peleas,2025,1175.0
06041,Cristina,2025,548.0
06042,Cheles,2025,1175.0
06043,Don Álvaro,2025,843.0
06044,Don Benito,2025,38009.0
06045,Entrín Bajo,2025,570.0
06046,Esparragalejo,2025,1506.0
06047,Esparragosa de la Serena,2025,912.0
06048,Esparragosa de Lares,2025,839.0
06049,Feria,2025,1054.0
06050,Fregenal de la Sierra,2025,4712.0
06051,Fuenlabrada de los Montes,2025,1694.0
06052,Fuente de Cantos,2025,4584.0
06053,Fuente del Arco,2025,650.0
06054,Fuente del Maestre,2025,6553.0
06055,Fuentes de León,2025,2119.0
06056,Garbayuela,2025,450.0
06057,Garlitos,2025,510.0
06058,"Garrovilla, La",2025,2311.0
06059,Granja de Torrehermosa,2025,1913.0
06060,Guareña,2025,6661.0
06061,"Haba, La",2025,1184.0
06062,Helechosa de los Montes,2025,556.0
06063,Herrera del Duque,2025,3389.0
06064,Higuera de la Serena,2025,881.0
06065,Higuera de Llerena,2025,343.0
06066,Higuera de Vargas,2025,1831.0
06067,Higuera la Real,2025,2190.0
06068,Hinojosa del Valle,2025,477.0
06069,Hornachos,2025,3382.0
06070,Jerez de los Caballeros,2025,9104.0
06071,"Lapa, La",2025,298.0
06072,Lobón,2025,2758.0
06073,Llera,2025,780.0
06074,Llerena,2025,5663.0
06075,Magacela,2025,502.0
06076,Maguilla,2025,916.0
06077,Malcocinado,2025,351.0
06078,Malpartida de la Serena,2025,507.0
06079,Manchita,2025,741.0
06080,Medellín,2025,2244.0
06081,Medina de las Torres,2025,1163.0
06082,Mengabril,2025,502.0
06083,Mérida,2025,60319.0
06084,Mirandilla,2025,1235.0
06085,Monesterio,2025,4248.0
06086,Montemolín,2025,1234.0
06087,Monterrubio de la Serena,2025,2153.0
06088,Montijo,2025,15195.0
06089,"Morera, La",2025,701.0
06090,"Nava de Santiago, La",2025,914.0
06091,Navalvillar de Pela,2025,4298.0
06092,Nogales,2025,633.0
06093,Oliva de la Frontera,2025,4903.0
06094,Oliva de Mérida,2025,1662.0
06095,Olivenza,2025,11775.0
06096,Orellana de la Sierra,2025,254.0
06097,Orellana la Vieja,2025,2582.0
06098,Palomas,2025,648.0
06099,"Parra, La",2025,1298.0
06100,Peñalsordo,2025,807.0
06101,Peraleda del Zaucejo,2025,466.0
06102,Puebla de Alcocer,2025,1090.0
06103,Puebla de la Calzada,2025,5809.0
06104,Puebla de la Reina,2025,690.0
06105,Puebla del Maestre,2025,651.0
06106,Puebla del Prior,2025,462.0
06107,Puebla de Obando,2025,1807.0
06108,Puebla de Sancho Pérez,2025,2640.0
06109,Quintana de la Serena,2025,4427.0
06110,Reina,2025,144.0
06111,Rena,2025,607.0
06112,Retamal de Llerena,2025,427.0
06113,Ribera del Fresno,2025,3153.0
06114,Risco,2025,126.0
